+------------------------------+
| CosmoFlow                    |
| # Ranks =     1              |
| Global Batch =      1        |
| # Parameters =   7041186     |
| CPE Plugin Pipeline Enabled  |
+------------------------------+
Rank 0 has waited a total of 0.017701 seconds for communication to complete so far on team 0 (calls = 0)
Train Step: 0, Samples/Sec = 0.0771146474356, Samples/Sec(inst) = 0.0771146474356, Loss = 1.0256983
Train Step: 247, Samples/Sec = 4.48153414295, Samples/Sec(inst) = 5.83090489252, Loss = 1.2374701
Train Step: 248, Samples/Sec = 4.485697504, Samples/Sec(inst) = 5.82855507057, Loss = 1.1977327
Train Step: 249, Samples/Sec = 4.48983472757, Samples/Sec(inst) = 5.82835258838, Loss = 1.1066549
Train Step: 250, Samples/Sec = 4.49394355939, Samples/Sec(inst) = 5.82709751276, Loss = 0.7101476
Train Step: 251, Samples/Sec = 4.49802522846, Samples/Sec(inst) = 5.82625570047, Loss = 1.1297724
Train Step: 252, Samples/Sec = 4.5020904263, Samples/Sec(inst) = 5.82984318664, Loss = 1.1299727
Train Step: 253, Samples/Sec = 4.50612842401, Samples/Sec(inst) = 5.82879806777, Loss = 1.0696311
Train Step: 254, Samples/Sec = 4.5101464615, Samples/Sec(inst) = 5.83073466937, Loss = 1.0042367
Train Step: 255, Samples/Sec = 4.51414425751, Samples/Sec(inst) = 5.83246978988, Loss = 0.52052295
Train Step: 256, Samples/Sec = 4.51810452658, Samples/Sec(inst) = 5.82672514271, Loss = 1.0853302
Train Step: 257, Samples/Sec = 4.52204508951, Samples/Sec(inst) = 5.82849027474, Loss = 1.382666
Train Step: 258, Samples/Sec = 4.52595625345, Samples/Sec(inst) = 5.8260129152, Loss = 0.7370867
Train Step: 259, Samples/Sec = 4.5298530192, Samples/Sec(inst) = 5.82988370267, Loss = 0.6258723
Train Step: 260, Samples/Sec = 4.53373050653, Samples/Sec(inst) = 5.83158588453, Loss = 1.4212716
Train Step: 261, Samples/Sec = 4.53757756173, Samples/Sec(inst) = 5.82838498459, Loss = 1.1291635
Train Step: 262, Samples/Sec = 4.54141193659, Samples/Sec(inst) = 5.83276989207, Loss = 1.5291514
Train Step: 263, Samples/Sec = 4.54521524234, Samples/Sec(inst) = 5.82910589331, Loss = 1.604861
Train Step: 264, Samples/Sec = 4.549009031, Samples/Sec(inst) = 5.83471725095, Loss = 0.9698224
Train Step: 265, Samples/Sec = 4.55276443592, Samples/Sec(inst) = 5.8276804484, Loss = 0.4320612
Train Step: 266, Samples/Sec = 4.55649751279, Samples/Sec(inst) = 5.82753470355, Loss = 1.3319125
Train Step: 267, Samples/Sec = 4.5602109724, Samples/Sec(inst) = 5.82849027474, Loss = 1.5887692
Train Step: 268, Samples/Sec = 4.56389924995, Samples/Sec(inst) = 5.82692751183, Loss = 1.4384966
Train Step: 269, Samples/Sec = 4.56756928031, Samples/Sec(inst) = 5.82832019254, Loss = 1.125495
Train Step: 270, Samples/Sec = 4.57122238771, Samples/Sec(inst) = 5.83022405954, Loss = 0.536683
Train Step: 271, Samples/Sec = 4.57485726131, Samples/Sec(inst) = 5.8314804825, Loss = 0.3128017
Train Step: 272, Samples/Sec = 4.57847920949, Samples/Sec(inst) = 5.83501758447, Loss = 0.6133243
Train Step: 273, Samples/Sec = 4.58205573392, Samples/Sec(inst) = 5.82407944835, Loss = 1.1644052
Train Step: 274, Samples/Sec = 4.58563600708, Samples/Sec(inst) = 5.83484712111, Loss = 1.4395919
Train Step: 275, Samples/Sec = 4.58917291544, Samples/Sec(inst) = 5.82462133679, Loss = 1.2098627
Train Step: 276, Samples/Sec = 4.59272053321, Samples/Sec(inst) = 5.83839643653, Loss = 1.5189335
Train Step: 277, Samples/Sec = 4.59623254991, Samples/Sec(inst) = 5.83144805188, Loss = 1.5490333
Train Step: 278, Samples/Sec = 4.59973071109, Samples/Sec(inst) = 5.83414102186, Loss = 0.812111
Train Step: 279, Samples/Sec = 4.60320551269, Samples/Sec(inst) = 5.83250223188, Loss = 0.124162
Train Step: 280, Samples/Sec = 4.60665919608, Samples/Sec(inst) = 5.83178859143, Loss = 1.4321437
Train Step: 281, Samples/Sec = 4.61010715461, Samples/Sec(inst) = 5.83794948883, Loss = 0.20700501
Train Step: 282, Samples/Sec = 4.61353053086, Samples/Sec(inst) = 5.83553715329, Loss = 0.6118448
Train Step: 283, Samples/Sec = 4.61691658049, Samples/Sec(inst) = 5.8272675236, Loss = 0.73054516
Train Step: 284, Samples/Sec = 4.62030034449, Samples/Sec(inst) = 5.83478218531, Loss = 0.47384304
Train Step: 285, Samples/Sec = 4.62365737336, Samples/Sec(inst) = 5.83114808569, Loss = 0.72553486
Train Step: 286, Samples/Sec = 4.6269957503, Samples/Sec(inst) = 5.83110755209, Loss = 0.867965
Train Step: 287, Samples/Sec = 4.63032079431, Samples/Sec(inst) = 5.83342698036, Loss = 1.2279081
Train Step: 288, Samples/Sec = 4.63363623962, Samples/Sec(inst) = 5.83740511773, Loss = 0.530532
Train Step: 289, Samples/Sec = 4.63693338064, Samples/Sec(inst) = 5.83734012498, Loss = 1.6417447
Train Step: 290, Samples/Sec = 4.64020125326, Samples/Sec(inst) = 5.83216160897, Loss = 0.18004343
Train Step: 291, Samples/Sec = 4.64345440373, Samples/Sec(inst) = 5.83358924717, Loss = 0.5716405
Train Step: 292, Samples/Sec = 4.64669157062, Samples/Sec(inst) = 5.83437636929, Loss = 0.49883407
Train Step: 293, Samples/Sec = 4.64990897739, Samples/Sec(inst) = 5.83335396324, Loss = 1.0868925
Train Step: 294, Samples/Sec = 4.65310259757, Samples/Sec(inst) = 5.83039425288, Loss = 0.795547
Train Step: 295, Samples/Sec = 4.65627283761, Samples/Sec(inst) = 5.8275428003, Loss = 0.26491725
Train Step: 296, Samples/Sec = 4.65943463536, Samples/Sec(inst) = 5.83155345273, Loss = 0.9586137
Train Step: 297, Samples/Sec = 4.66259113749, Samples/Sec(inst) = 5.83699893678, Loss = 1.4645112
Train Step: 298, Samples/Sec = 4.6657345294, Samples/Sec(inst) = 5.83876217191, Loss = 1.433578
Train Step: 299, Samples/Sec = 4.66885442535, Samples/Sec(inst) = 5.8356021059, Loss = 1.2949617
Rank 0 has waited a total of 0.017739 seconds for communication to complete so far on team 0 (calls = 300)
Train Step: 300, Samples/Sec = 4.67195966116, Samples/Sec(inst) = 5.83651159425, Loss = 1.4279141
Train Step: 301, Samples/Sec = 4.67505401532, Samples/Sec(inst) = 5.83914421112, Loss = 1.7071626
Train Step: 302, Samples/Sec = 4.67812578927, Samples/Sec(inst) = 5.83621110692, Loss = 1.0455096
Train Step: 303, Samples/Sec = 4.68118381131, Samples/Sec(inst) = 5.83737262117, Loss = 1.2821186
Train Step: 304, Samples/Sec = 4.68420997938, Samples/Sec(inst) = 5.82991611589, Loss = 1.1398437
Train Step: 305, Samples/Sec = 4.6872359767, Samples/Sec(inst) = 5.83737262117, Loss = 0.54737866
Train Step: 306, Samples/Sec = 4.69033575972, Samples/Sec(inst) = 5.88030506954, Loss = 1.4484515
Train Step: 307, Samples/Sec = 4.6930755009, Samples/Sec(inst) = 5.71856449075, Loss = 1.4240737
Train Step: 308, Samples/Sec = 4.69603653757, Samples/Sec(inst) = 5.82872516648, Loss = 1.2099807
Train Step: 309, Samples/Sec = 4.69898259804, Samples/Sec(inst) = 5.82892767456, Loss = 0.7599229
Train Step: 310, Samples/Sec = 4.70191473177, Samples/Sec(inst) = 5.82957579498, Loss = 0.9599668
Train Step: 311, Samples/Sec = 4.70483085042, Samples/Sec(inst) = 5.82917070283, Loss = 0.9126799
Train Step: 312, Samples/Sec = 4.70772830778, Samples/Sec(inst) = 5.82743754437, Loss = 0.9835954
Train Step: 313, Samples/Sec = 4.71062449436, Samples/Sec(inst) = 5.8340030684, Loss = 1.0313067
Train Step: 314, Samples/Sec = 4.71350659773, Samples/Sec(inst) = 5.83437636929, Loss = 0.83217716
Train Step: 315, Samples/Sec = 4.71637283091, Samples/Sec(inst) = 5.83383266431, Loss = 0.33306205
Train Step: 316, Samples/Sec = 4.71921584274, Samples/Sec(inst) = 5.82967302547, Loss = 0.5162239
Train Step: 317, Samples/Sec = 4.72204656128, Samples/Sec(inst) = 5.83073466937, Loss = 0.7552284
Train Step: 318, Samples/Sec = 4.72486933884, Samples/Sec(inst) = 5.83386512147, Loss = 1.4390414
Train Step: 319, Samples/Sec = 4.72767473853, Samples/Sec(inst) = 5.83236435591, Loss = 1.4652729
Train Step: 320, Samples/Sec = 4.73047403895, Samples/Sec(inst) = 5.83630855888, Loss = 1.0407674
Train Step: 321, Samples/Sec = 4.73325500847, Samples/Sec(inst) = 5.8342384047, Loss = 0.9113908
Train Step: 322, Samples/Sec = 4.73600997984, Samples/Sec(inst) = 5.82835258838, Loss = 1.0331764
Train Step: 323, Samples/Sec = 4.73876227837, Samples/Sec(inst) = 5.83382455008, Loss = 0.8476989
Train Step: 324, Samples/Sec = 4.7415050496, Samples/Sec(inst) = 5.83591065053, Loss = 0.5147836
Train Step: 325, Samples/Sec = 4.74422999352, Samples/Sec(inst) = 5.83386512147, Loss = 0.7376819
Train Step: 326, Samples/Sec = 4.74694178699, Samples/Sec(inst) = 5.83406798686, Loss = 0.9411595
Train Step: 327, Samples/Sec = 4.74963592085, Samples/Sec(inst) = 5.83199131244, Loss = 1.3628287
Train Step: 328, Samples/Sec = 4.75231980226, Samples/Sec(inst) = 5.83352433936, Loss = 0.5220653
Train Step: 329, Samples/Sec = 4.75498165305, Samples/Sec(inst) = 5.82917070283, Loss = 0.7508454
Train Step: 330, Samples/Sec = 4.75763830046, Samples/Sec(inst) = 5.83311058604, Loss = 1.1878316
Train Step: 331, Samples/Sec = 4.76029752582, Samples/Sec(inst) = 5.84091687671, Loss = 0.9201942
Train Step: 332, Samples/Sec = 4.76294453955, Samples/Sec(inst) = 5.84132360314, Loss = 0.6476662
Train Step: 333, Samples/Sec = 4.76557719532, Samples/Sec(inst) = 5.84060780251, Loss = 1.4267704
Train Step: 334, Samples/Sec = 4.76819587079, Samples/Sec(inst) = 5.8400304094, Loss = 1.5463749
Train Step: 335, Samples/Sec = 4.77078751967, Samples/Sec(inst) = 5.83284289457, Loss = 1.1541028
Train Step: 336, Samples/Sec = 4.7733527186, Samples/Sec(inst) = 5.82587534586, Loss = 1.5015005
Train Step: 337, Samples/Sec = 4.77591696215, Samples/Sec(inst) = 5.83165885739, Loss = 1.4204274
Train Step: 338, Samples/Sec = 4.77847136295, Samples/Sec(inst) = 5.83294834585, Loss = 1.1571519
Train Step: 339, Samples/Sec = 4.7810138484, Samples/Sec(inst) = 5.83315114749, Loss = 1.0772706
Train Step: 340, Samples/Sec = 4.78353557784, Samples/Sec(inst) = 5.82883046893, Loss = 0.28232732
Train Step: 341, Samples/Sec = 4.78605503526, Samples/Sec(inst) = 5.83382455008, Loss = 0.5917695
Train Step: 342, Samples/Sec = 4.78855542108, Samples/Sec(inst) = 5.83025647655, Loss = 1.5816357
Train Step: 343, Samples/Sec = 4.79104726545, Samples/Sec(inst) = 5.83199131244, Loss = 1.464589
Train Step: 344, Samples/Sec = 4.79352949143, Samples/Sec(inst) = 5.83314303516, Loss = 1.2041996
Train Step: 345, Samples/Sec = 4.79600578481, Samples/Sec(inst) = 5.83614614076, Loss = 1.2941841
Train Step: 346, Samples/Sec = 4.79847512104, Samples/Sec(inst) = 5.83859961719, Loss = 0.75767195
Train Step: 347, Samples/Sec = 4.80092953494, Samples/Sec(inst) = 5.83692583021, Loss = 0.8852028
Train Step: 348, Samples/Sec = 4.80336595894, Samples/Sec(inst) = 5.83362170161, Loss = 0.7738477
Train Step: 349, Samples/Sec = 4.80579229799, Samples/Sec(inst) = 5.83433579079, Loss = 1.3281486
Train Step: 350, Samples/Sec = 4.80819709881, Samples/Sec(inst) = 5.82909779222, Loss = 1.0892079
Train Step: 351, Samples/Sec = 4.81060194043, Samples/Sec(inst) = 5.83495264488, Loss = 1.1966131
Train Step: 352, Samples/Sec = 4.81299613779, Samples/Sec(inst) = 5.83526112083, Loss = 0.27782863
Train Step: 353, Samples/Sec = 4.81538303018, Samples/Sec(inst) = 5.83726700986, Loss = 1.3656607
Train Step: 354, Samples/Sec = 4.81774744441, Samples/Sec(inst) = 5.83134265483, Loss = 1.2743723
Train Step: 355, Samples/Sec = 4.82010036545, Samples/Sec(inst) = 5.83107512561, Loss = 0.8064282
Train Step: 356, Samples/Sec = 4.82246212523, Samples/Sec(inst) = 5.84139681991, Loss = 0.33470866
Train Step: 357, Samples/Sec = 4.82481143672, Samples/Sec(inst) = 5.84058340331, Loss = 1.646791
Train Step: 358, Samples/Sec = 4.82716088735, Samples/Sec(inst) = 5.84634727351, Loss = 0.67492926
Train Step: 359, Samples/Sec = 4.82947382125, Samples/Sec(inst) = 5.8328023374, Loss = 0.9947211
Train Step: 360, Samples/Sec = 4.83178688709, Samples/Sec(inst) = 5.8384614528, Loss = 0.9538443
Train Step: 361, Samples/Sec = 4.83409525124, Samples/Sec(inst) = 5.84156766619, Loss = 1.1886296
Train Step: 362, Samples/Sec = 4.83639476017, Samples/Sec(inst) = 5.84245460029, Loss = 1.9152358
Train Step: 363, Samples/Sec = 4.83868213359, Samples/Sec(inst) = 5.84156766619, Loss = 1.0984352
Train Step: 364, Samples/Sec = 4.84095488012, Samples/Sec(inst) = 5.83931492565, Loss = 0.8409209
Train Step: 365, Samples/Sec = 4.84322346845, Samples/Sec(inst) = 5.84258481512, Loss = 0.70006394
Train Step: 366, Samples/Sec = 4.84547060827, Samples/Sec(inst) = 5.83661717823, Loss = 1.3643961
Train Step: 367, Samples/Sec = 4.84771955647, Samples/Sec(inst) = 5.84299991363, Loss = 1.1391842
Train Step: 368, Samples/Sec = 4.84995958754, Samples/Sec(inst) = 5.84364302582, Loss = 1.063418
Train Step: 369, Samples/Sec = 4.85219117279, Samples/Sec(inst) = 5.8445061583, Loss = 0.75241274
Train Step: 370, Samples/Sec = 4.85449883059, Samples/Sec(inst) = 5.89115772382, Loss = 1.334323
Train Step: 371, Samples/Sec = 4.85648386474, Samples/Sec(inst) = 5.7249884321, Loss = 1.356537
Train Step: 372, Samples/Sec = 4.85867610047, Samples/Sec(inst) = 5.83920924405, Loss = 0.78317624
Train Step: 373, Samples/Sec = 4.86086116794, Samples/Sec(inst) = 5.84060780251, Loss = 0.9175812
Train Step: 374, Samples/Sec = 4.86312035778, Samples/Sec(inst) = 5.88630459769, Loss = 1.0885915
Train Step: 375, Samples/Sec = 4.86506806543, Samples/Sec(inst) = 5.72488684818, Loss = 1.6585686
Train Step: 376, Samples/Sec = 4.86721772684, Samples/Sec(inst) = 5.83695832179, Loss = 1.4869372
Train Step: 377, Samples/Sec = 4.86936192279, Samples/Sec(inst) = 5.83914421112, Loss = 0.61353385
Train Step: 378, Samples/Sec = 4.87150012737, Samples/Sec(inst) = 5.84102262014, Loss = 1.2096968
Train Step: 379, Samples/Sec = 4.87363162456, Samples/Sec(inst) = 5.84248715345, Loss = 0.1873698
Train Step: 380, Samples/Sec = 4.87574884521, Samples/Sec(inst) = 5.83978647479, Loss = 1.1238618
Train Step: 381, Samples/Sec = 4.87785489116, Samples/Sec(inst) = 5.83873778812, Loss = 0.7592651
Train Step: 382, Samples/Sec = 4.87994777252, Samples/Sec(inst) = 5.83656032484, Loss = 1.220916
Train Step: 383, Samples/Sec = 4.88204214651, Samples/Sec(inst) = 5.84238949505, Loss = 1.1197629
Train Step: 384, Samples/Sec = 4.88412444109, Samples/Sec(inst) = 5.8407460685, Loss = 1.8007197
Train Step: 385, Samples/Sec = 4.88619536512, Samples/Sec(inst) = 5.83945313044, Loss = 0.42020953
Train Step: 386, Samples/Sec = 4.88825936152, Samples/Sec(inst) = 5.84057527028, Loss = 0.41700125
Train Step: 387, Samples/Sec = 4.89032079819, Samples/Sec(inst) = 5.84409084576, Loss = 0.7966367
Train Step: 388, Samples/Sec = 4.89235916171, Samples/Sec(inst) = 5.83621922779, Loss = 0.53922594
Train Step: 389, Samples/Sec = 4.8944035499, Samples/Sec(inst) = 5.84443286356, Loss = 1.5588646
Train Step: 390, Samples/Sec = 4.89642948454, Samples/Sec(inst) = 5.8390385357, Loss = 1.7768183
Train Step: 391, Samples/Sec = 4.89844833858, Samples/Sec(inst) = 5.8399247019, Loss = 1.4215
Train Step: 392, Samples/Sec = 4.90045753696, Samples/Sec(inst) = 5.83934744383, Loss = 1.6322048
